model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
google/gemma-2-2b,Non-Contextual,50.34013605442177,7.482993197278912,1.1448,32890.6304717986,Events
meta-llama/Llama-3.2-3B-Instruct,Contextual,47.82608695652174,2.898550724637681,0.9188000000000001,5374.920590847926,Events
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,52.38095238095239,2.7210884353741496,1.4545,1286.2883342709354,Events
mistralai/Mistral-7B-Instruct-v0.3,Contextual,8.695652173913043,42.7536231884058,1.0,4.5727486547476515,Events
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,9.523809523809524,48.29931972789115,1.0,3.00158844544422,Events
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,47.10144927536232,8.695652173913043,0.7759,18931.443430658983,Events
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,48.29931972789115,8.16326530612245,1.0,17154.32612924972,Events
CohereForAI/aya-expanse-8b,Contextual,42.7536231884058,9.420289855072465,0.96885,386678.1704575505,Sports
CohereForAI/aya-expanse-8b,Non-Contextual,48.36601307189542,13.071895424836603,1.0,7532.903253328184,Sports
Qwen/Qwen2.5-7B-Instruct,Contextual,40.57971014492754,3.6231884057971016,0.8158,2247.1576200373675,Sports
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,45.09803921568628,4.57516339869281,1.0,8009.561213874624,Sports
enstazao/Qalb-1.0-8B-Instruct,Contextual,44.20289855072464,15.942028985507244,1.0,3632.780170270304,Sports
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,39.21568627450981,20.915032679738562,0.8402,3617.7485208761486,Sports
google/gemma-2-2b,Contextual,44.20289855072464,6.521739130434782,0.99775,2250.1517292771327,Sports
google/gemma-2-2b,Non-Contextual,44.44444444444444,3.9215686274509802,0.9993,10066.865777985238,Sports
meta-llama/Llama-3.2-3B-Instruct,Contextual,42.028985507246375,0.7246376811594203,0.9557500000000001,748.8812462509428,Sports
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,45.751633986928105,1.3071895424836601,1.0,6792.846517871935,Sports
mistralai/Mistral-7B-Instruct-v0.3,Contextual,3.6231884057971016,30.434782608695656,1.0,2.932066818325922,Sports
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,4.57516339869281,44.44444444444444,1.0,2.5539833594291093,Sports
